ID,SuveyID_DoNotUse,Proofed_MC,Year,County,WaterbodyName,SiteName,Affiliation,SurveyType,Missing data,Corrections,surveyArea_ha,Survey Length (KM),# Survey Hours,# Surveys,0_Territories_FullProtocol,PO Territories,PR Territories,CO Territories,Breed_evidence,NumNests,Field21,NumDetected,Zone,StartX_UTME,StartY_UTMN,Start_Lat,Start_Long,StopX,StopY,StopLat,StopLong,Contact Info,VegType,Survey File Name,Incomplete or Complete Record,Comments,Field35,Legend,Comments between Susan and Maya,Nest1_X,Nest1_Y,Field40,Field41,Field42,Field43
262,100,,2016,Gila,Gold Gulch,Gold Gulch,Westland Resources,Protocol,,,,1.8,15.2,4,0,,,,,,,0,12S,501234,3697706,33.41870277,-110.9867272,499625,3698579,,,jtress@westlandresources.com,1,,Complete,No detections; combined with other sites on one pdf document,,,,,,,,,
263,101,,2016,Gila,Pinto Creek,Pinto Creek at Gold Gulch,Westland Resources,Protocol,,,,3.1,18.8,4,0,,,,,,,3,12S,499227,3697953,33.42093108,-111.0083145,499590,499590,,,jtress@westlandresources.com,1,,Complete,3 detections (no territories); combined with other sites on one pdf document,,,,,,,,,
264,102,,2016,Gila,Tonto Creek,Punkin Center,Archaeological Constuling Services,Protocol,,"Corrected ""USA"" to ""Gila"" for County",,1.9,19.75,4,,2,2,1,,,,2,12S,471306,3748346,33.87505721,-111.3102625,471652,3746785,,,scobbold@acstempe.com,2,,Complete,2 detections; should be 0 for all territory categories? (says 2 PO and 2 PR),,,"This on has only 2 detections but 5 territores? (2 PO, 2 PR, and 1 CO).  Susan will check with ACS",,,,,,
265,103,,2016,"Gila, Pinal",Gila River,Drippings Springs to Winkelman,"EcoPlan Associates, Inc.",Protocol,,,,15,72.1,4,,1,1,,,,,14,12S,528106,3660163,33.07970135,-110.6988598,521531,3649691,,,tashbeck@ecoplanaz.com,4,,Complete,,,,,,,,,,
266,104,,2016,Graham,Copper Creek,Copper Creek Canyon,SWCA Environmental Consultants,Protocol,,,,2,13.05,4,0,,,,,,,0,12S,554987,3623110,32.74445402,-110.4130643,554036,3624712,,,canderson@swca.com,1,,Complete,No detections; gives range for elevation,,,,,,,,,
267,105,,2016,Graham,Copper Creek,Marics Canyon,SWCA Environmental Consultants,Protocol,,,,1.5,3.5,1,0,,,,,,,0,12S,553814,3622255,32.73679967,-110.425634,552746,3623259,,,mmcleod@swca.com,1,,Complete,No detections; only one survey done; gives range for elevation,,,,,,,,,
268,106,,2016,Graham,Copper Creek,Pipeline Canyon,SWCA Environmental Consultants,Protocol,,,,1.5,11.65,4,0,,,,,,,0,12S,553973,3622827,32.74195149,-110.4239038,553308,3623939,,,apellegrini@swca.com,1,,Complete,No detections; gives range for elevation,,,,,,,,,
269,107,mc,2016,Graham,Gila River,Fort Thomas Preserve & Fort Thomas HB Preserve,"EcoPlan Associates, Inc.",Protocol,,"corrected site name per datasheet and matching start/end coord to 2018 and 2020, added site attributes",NR,7.2,113.4,4,,3,9,,,,,61,12S,601001,3650058,32.98423537,-109.9190207,597841,3656394,,,tashbeck@ecoplanaz.com,3,,,multiple surveyors per survey surveyed different areas of site,,,Same as the entry below. Delete this entry if it is a duplicate.  EcoPlan is the consulting firm that works for Salt River Project.,,,,,,
270,108,,2016,Graham,Gila River,R4,Northern Arizona University,Protocol,All data missing for these sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data for site. Matt Johnson may have not collected data for this site in 2016.,,,,,,
271,109,,2016,Graham,Gila River,R8,Northern Arizona University,Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data for site. Matt Johnson may have not collected data for this site in 2016.,,,,,,
272,110,,2016,Graham,Gila River,R9,Northern Arizona University,Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data for site. Matt Johnson may have not collected data for this site in 2016.,,,,,,
273,111,,2016,Graham,Gila River,R14,Northern Arizona University,Protocol,Territory data; Habitat form uncomplete,,,NR,0.57,4,,,,,,,,4,12S,601255,3649128,32.97582433,-109.9164051,601153,3650018,,,,,,Incomplete,4 detections; missing majority of habitat info and reporting individual/affiliation info; the site form and habitat form are combined into one excel file,,,No territory or habitat data,,,,,,
274,112,,2016,Graham,Gila River,R18,Northern Arizona University,Protocol,Territory data; Habitat form incomplete,,,NR,2.32,4,,,,,,,,9,12S,609674,3642418,32.91449563,-109.8271231,608140,3643323,,,,,,Incomplete,9 detections; missing majority of habitat info and reporting individual/affiliation info; the site form and habitat form are combined into one excel file,,,Missing territory data and vegetation characteristics.,,,,,,
275,113,,2016,"Graham, Pinal",Copper Creek,Scanlon Wash and No-Name Canyon,SWCA Environmental Consultants,Protocol,,,,2.57,13.85,4,0,,,,,,,0,12S,553470,3621442,32.72948292,-110.4293521,551527,3621872,,,apellegrini@swca.com,1,,Complete,No detections; gives range for elevation,,,,,,,,,
276,114,,2016,Greenlee,Eagle Creek,Eagle Creek,Celeste Andresen,Incidental,,,,NR,NR,NR,,,,,,,,3,12S,639993,3689127,33.33221317,-109.495806,,,,,candresen@tnc.org,,,Complete,"At the confluence of Willow and Eagle Creek, 12 S 639993E, 3689127N (NAD 83)",,,,,,,,,
277,115,,2016,La Paz,Santa Maria River,Alamo Reservoir,Murrelet Halterman,Training,,,,NR,6.2,1,,NA,NA,NA,,0,,1,12S,266065,3797115,34.28891343,-113.5415251,266100,3797161,,,,,,Complete,"1 detection; *These were not protocol nor incidental sitings, but sitings from training procedures conducted by Murrelet Halterman",,,,,,,,,
278,116,,2016,La Paz,Lower Colorado River,Cottonwood Genetics,Southern Sierra Research Station,Protocol,,,16.467605117,NR,8.5,4,,1,,,,,,3,11S,715401,3694545,33.36859382,-114.6847453,715817,3694957,,,dtracy.ssrs@gmail.com,1,,Complete,survey forms/data combined with all other surveys done by Southern Sierra Research Station,,,,,,,,,
279,117,,2016,La Paz,Lower Colorado River,Crane Roost,Southern Sierra Research Station,Protocol,,,,0.8,24.7,4,,4,1,5,,4,,27,11S,714640,3693326,33.35775982,-114.6932093,715395,3694138,,,dtracy.ssrs@gmail.com,1,,Complete,survey forms/data combined with all other surveys done by Southern Sierra Research Station,,,Nest coordinates?  Susan needs to look for all SSRS data for every year or ask SSRS for nest coordinates.  Might be too difficult for Maya to look through.  Lines 55-68 SSRS.  Maya can skip SSRS if too confusing.,,,,,,
280,118,,2016,La Paz,Lower Colorado River,CW North,Southern Sierra Research Station,Protocol,,"Std site name removed "" (Cibola National Wildlife Refuge)""",7.2524632562,0.4,2.5,4,0,,,,,,,0,11S,715804,3695154,33.37400155,-114.680271,716197,3695354,,,dtracy.ssrs@gmail.com,1,,Complete,No detections; survey forms/data combined with all other surveys done by Southern Sierra Research Station,,,,,,,,,
281,119,,2016,La Paz,Lower Colorado River,Hippy Fire,Southern Sierra Research Station,Protocol,,,29.063901172,0.8,7.8,4,,1,,,,,,6,11S,713895,3694932,33.37238246,-114.7008295,714726,3695317,,,dtracy.ssrs@gmail.com,1,,Complete,survey forms/data combined with all other surveys done by Southern Sierra Research Station,,,,,,,,,
282,120,,2016,La Paz,Lower Colorado River,Mass Transplanting,Southern Sierra Research Station,Protocol,,,8.1494088807,NR,2.7,4,0,,,,,,,2,11S,715407,3694154,33.36506875,-114.6847743,715827,3694554,,,dtracy.ssrs@gmail.com,1,,Complete,2 detections (no territories); survey forms/data combined with all other surveys done by Southern Sierra Research Station,,,,,,,,,
283,121,,2016,La Paz,Lower Colorado River,Nature Trail,Southern Sierra Research Station,Protocol,,,14.504644898,NR,5.8,4,,2,,,,,,6,11S,715817,3694155,33.36499552,-114.6803704,716183,3694568,,,dtracy.ssrs@gmail.com,1,,Complete,survey forms/data combined with all other surveys done by Southern Sierra Research Station,,,,,,,,,
284,122,,2016,La Paz,Lower Colorado River,CVCA Phase 01,Southern Sierra Research Station,Protocol,,,37.169939327,0.9,18.6,4,,1,1,1,,,,12,11S,717027,3698980,33.40823632,-114.6662124,717811,3699561,,,dtracy.ssrs@gmail.com,1,,Complete,"habitat data is same for ""Phase 1"" and ""Phase 2"" survey forms/data combined with all other surveys done by Southern Sierra Research Station",,,,,,,,,
285,123,,2016,La Paz,Lower Colorado River,CVCA Phase 02,Southern Sierra Research Station,Protocol,,,27.466642232,0.9,11.2,4,,2,,,,,,5,11S,717043,3698625,33.40503373,-114.666126,717820,3699014,,,dtracy.ssrs@gmail.com,1,,Complete,"habitat data is same for ""Phase 1"" and ""Phase 2"" survey forms/data combined with all other surveys done by Southern Sierra Research Station",,,,,,,,,
286,124,,2016,La Paz,Lower Colorado River,CVCA Phase 03,Southern Sierra Research Station,Protocol,,,43.868127044,0.9,17.1,4,,1,,,,,,5,11S,714066,3697597,33.39636678,-114.6983596,714627,3698527,,,dtracy.ssrs@gmail.com,1,,Complete,survey forms/data combined with all other surveys done by Southern Sierra Research Station,,,,,,,,,
287,125,,2016,Maricopa,Gila River,Arlington Wildlife Area,AZGFD,Protocol,,,,8.2,15.8,4,0,,,,,,,1,12S,334958,3683770,33.28036635,-112.7722589,335191,3681848,,,chofer@azgfd.gov,4,,Complete,1 detection,,,,,,,,,
288,126,,2016,Maricopa,Hassayampa River,Hassayampa River Preserve (HRP),AZGFD,Protocol,Territory data,,,1.5,18,4,,1,,3,1 of the COs with a fledgling (No UTMs because no nest found),1,,19,12S,343427,3755977,33.9326168,-112.6940399,343047,3756174,,,ckondrat-smith@azgfd.gov,1,,Incomplete,19 detections; email from Chrissy Kondrat-Smith: 3 confirmed pairs (one confirmed breeding with one fledgling) and 1 possible pair.,,,"Says there are 3 (possibly 4) territorries but doesn't say what territories? Also two catergores chosen for overall veg characteristics.  I found an email that stated 3 CO (one of which had a fledgling), 1PO.  I also sent email to ckondrat-smith on 4/8.  ",,,,,,
289,127,,2016,Maricopa,Hassayampa River,Hassayampa River Reststop (HRR),AZGFD,Protocol,Territory data,# of cuckoos,,1.54,11.5,4,,1,,1,,,,8,12S,343427,3755977,33.9326168,-112.6940399,343047,3756174,,,ckondrat-smith@azgfd.gov,1,,Complete,"13 detections; *Site name paraphased/labeled as ""HRA"" in file name, and data re-entered into separate sheet for Hassayampa River Preserve (HRP).  email from Chrissy Kondrat-Smith: one confirmed pair in a territory and one possible pair.",,,"1 CO, 1 PO.  Sent email to ckondrat-smith on 4/8 ",,,,,,
290,128,,2016,Mohave,Big Sandy River,Middle Big Sandy,AZGFD,Protocol,,,,3.9,15.5,4,0,,,,,,,11,12S,259144,3817659,34.47241016,-113.6224155,259630,3815031,,,rmixan@azgfd.gov,1,,Complete,11 detections (no territories),,,,,,,,,
291,129,,2016,Mohave,Big Sandy River,Upper Big Sandy,AZGFD,Protocol,,,,4.9,17,4,0,,,,,,,0,12S,264279,3833511,34.61640776,-113.570947,263139,3831709,,,rmixan@azgfd.gov,1,,Complete,No detections,,,,,,,,,
292,130,,2016,Mohave,Santa Maria River,Santa Maria River,AZGFD,Protocol,,,,6.6,49.5,4,0,,,,,,,1,12S,266765,3798251,34.29930585,-113.5342342,272821,3798289,,,rmixan@azgfd.gov,2,,Complete,1 detection; survey hours entered incorrectly,,,,,,,,,
293,131,,2016,Mohave,Lower Colorado River,Beal Lake Conservation Area,Southern Sierra Research Station,Protocol,,,35.511529023,NR,13.4,4,,,1,,,,,2,11S,725200,3851200,34.77814181,-114.5389908,726300,3850300,,,dtracy.ssrs@gmail.com,1,,Complete,"*site name referred to as ""Beal CPhase 05-06"" in Survey Summary form; survey forms/data combined with all other surveys done by Southern Sierra Research Station",,,,,,,,,
294,132,,2016,Pima,Santa Cruz River,Santa Cruz River at Ina Rd Bridge,Westland Resources,Protocol,,,,0.98,7.9,4,0,,,,,,,0,12S,492220,3578315,32.34170385,-111.082675,492458,3577371,,,jtress@westlandresources.com,3,,Complete,"No detections, all info on one pdf form",,,,,,,,,
295,133,?,2016,Pima,Ash Creek,Ash Creek,Tucson Audubon Society,Protocol,,,,NR,3,1,,,,,,,,0,12S,551403,3549732,32.08269829,-110.4553099,549870,3551829,,,jmacfarland@tucsonaudubon.org,,,Incomplete,1 detections; vegetation data combined with all sites done by TAS; only 1 surveys done,,,"Susan needs to read report and estimate territories, then ask Jennie MacFarland if she can confirm",,,,,,
296,134,,2016,Pima,Happy Valley near Paige Creek,Happy Valley Road,Tucson Audubon Society,Protocol,,,,NR,7.2,2,0,,,,,,,0,12S,548621,3554585,32.12660195,-110.4845423,549366,3555790,,,jmacfarland@tucsonaudubon.org,1,,Complete,No detections; vegetation data combined with all sites done by TAS; only 2 surveys done,,,,,,,,,
297,135,,2016,Pima,Miller Canyon,Miller Canyon,Tucson Audubon Society,Protocol,,,,NR,2.5,1,,,,,,,,0,12S,548950,3557222,32.15037672,-110.4809198,547564,3558100,,,jmacfarland@tucsonaudubon.org,1,,Complete,No detections; vegetation data combined with all sites done by TAS; only 1 survey done,,,,,,,,,
298,136,,2016,Pima,Paige Creek,Paige Creek North,Tucson Audubon Society,Protocol,Territory data,,,NR,11.2,4,,,4,,,,,18,12S,551575,3557534,32.1530741,-110.4530678,552903,3558631,,,jmacfarland@tucsonaudubon.org,2,,Complete,18 detections; vegetation data combined with all sites done by TAS,,,No territory data?,,,,,,
299,137,,2016,Pima,Paige Creek,Paige Creek South,Tucson Audubon Society,Protocol,Territory data,,,NR,9.75,3,,,3,,,,,14,12S,551575,3557492,32.15269521,-110.4530701,549215,3555823,,,jmacfarland@tucsonaudubon.org,2,,Complete,14 detections; vegetation data combined with all sites done by TAS; only 3 surveys done,,,,,,,,,
300,138,,2016,Pima,Turkey Creek,Turkey Creek,Tucson Audubon Society,Protocol,,,,NR,10.25,4,0,,,,,,,0,12S,549439,3558046,32.15778883,-110.475692,549159,3558098,,,jmacfarland@tucsonaudubon.org,1,,Complete,No detections; vegetation data combined with all sites done by TAS,,,,,,,,,
301,139,,2016,Pima,Bingham Cienega,Bingham Cienega,Tucson Audubon Society,Protocol,Territory data; map; habitat data,,,NR,8.5,2,,,,,,,,16,12S,548210,3590175,32.44767852,-110.4870952,548600,3591879,,,jmacfarland@tucsonaudubon.org,,,Incomplete,16 detections; vegetation data combined with all sites done by TAS; only 2 surveys done,,,No territory data?,,,,,,
302,140,?,2016,Pima,Buehman Canyon,Buehman Canyon,Tucson Audubon Society,Protocol,map; habitat data,,,NR,5.3,2,,,,,,,,0,12S,542217,3583084,32.38395454,-110.5511696,539272,3583480,,,jmacfarland@tucsonaudubon.org,,,Incomplete,No detections; vegetation data combined with all sites done by TAS; only 2 surveys done,,,,,,,,,
303,141,,2016,Pima,Cienega Creek,LCNCA Cienega Creek - Mattie Canyon to Narrows Crossing,Bureau of Land Management,Banding Data,,,,NR,4.75,1,0,,,,,,,1,12R,540301,3524945,31.85953092,-110.5739827,541958,3527517,,,mradke@blm.gov,1,,Complete,1 incidental detection; part of WIFL/YBCU banding data,,,Marcia has retired.  Susan will find her home email and her successor's BLM email address to add in.,,,,,,
304,142,,2016,Pima,Kitt Peak,Kitt Peak,"Susan Sferra, Mary Lane",Spot-Checking,,,,NR,NR,NR,0,,,,,,,0,12R,,,,,,,,,susan_sferra@fws.gov,1,,,"No detections, one morning visit to see if YBCUs were in area given previous reports",,,,,,,,,
305,143,,2016,Pinal,San Pedro River,7B Ranch North,The Nature Conservancy,Protocol,,,,3.5,18.96,4,,2,6,,,,,31,12S,534394,3621288,32.7288551,-110.632938,534234,3620491,,,candresen@tnc.org,2,,Complete,,,,,,,,,,
306,144,,2016,Pinal,San Pedro River,7B Ranch Middle,The Nature Conservancy,Protocol,,,,3.5,21.47,4,,6,6,,,,,49,12S,535656,3618506,32.70371967,-110.6195764,535526,3619497,,,candresen@tnc.org,2,,Complete,,,,,,,,,,
307,145,,2016,Pinal,San Pedro River,7B Ranch South,The Nature Conservancy,Protocol,,,,3.5,11.49,4,,4,2,,,,,27,12S,535547,3618507,32.70373221,-110.6207393,535517,3617490,,,candresen@tnc.org,2,,Complete,,,,,,,,,,
308,146,?,2016,Pinal,Arnett Creek,Arnett Creek,Audubon Arizona,Protocol,,,,,,,0,,,,,,,0,12S,488133,3680158,33.26035725,-111.1274096,486363,3681080,,,,,,,"No detections; NO name for drainage, so using same name for Drainage and Site Name",,,Second Arnett Creek? Row 277 is also Arnett Creek.  Susan's note: UTMs need to be entered.  They are in Pinal Co folder now.,,,,,,
309,147,LB,2016,Pinal,Queen Creek,Lower Queen Creek,Audubon Arizona,Protocol,,,,2.07,11.2,4,0,,,,,,,0,12S,491481,3683822,33.29343804,-111.0914985,491917,3684675,,,sprager@audubon.org,2,,Complete,"No detections; has surveys 1, 2, ""2.2,"" and 3, totaling to 4 different surveys but named weirdly",,,,,,,,,
310,148,LB,2016,Pinal,Queen Creek,Upper Queen Creek,Audubon Arizona,Protocol,,,,1.3,5.87,4,0,,,,,,,0,12S,481481,3083822,27.87908211,-111.1881397,491917,3684675,,,sprager@audubon.org,1,,Complete,"No detections; has surveys 1, 2, ""2.2,"" and 3, totaling to 4 different surveys but named weirdly",,,,,,,,,
311,149,mc,2016,Pinal,Arnett Creek,Arnett Creek,Audubon Arizona,Protocol,maps?,"crrected num detected from 1 t o0 per datasheet, added survey length from separate habitat form",,2.5,10.37,4,0,,,,,,,0,12S,488117,3680157,33.26034805,-111.1275814,486173,3681065,,,,,,,1 detections; check with Audubon/TAS to see if they have maps. Might be in a different folder somewhere else.,,,I can't find this site in the Pinal county 2016 folder.  Susan will check Tucson Audubon,,,,,,
312,150,,2016,Pinal,Gila River,Middle Gila River,Westland Resources,Protocol,Ownership of site,,,6.5,17.1,4,,1,,,,,,6,12S,498126,3662704,33.10298382,-111.0200842,503591,3663193,,," jtress@westlandresources.com, Eric.Herman@atozec.com",2,,Complete,all forms on pdf,,,,,,,,,
313,151,,2016,Pinal,Devils Canyon,Lower Devils Canyon,Westland Resources,Protocol,standardize site name per UTM,,,3.4,11.5,2,0,,,,,,,0,12S,498050,3679767,33.25689394,-111.0209353,499598,3677427,,,jtress@westlandresources.com,1,,Complete,No detections; only two surveys done,,,,,,,,,
314,152,,2016,Pinal,Devils Canyon,Middle Devils Canyon,Westland Resources,Protocol,,standardize site name per UTM,,1.8,6.9,2,0,,,,,,,0,12S,497236,3682427,33.28088533,-111.0296825,497583,3680834,,,jtress@westlandresources.com,1,,Complete,No detections; only two surveys done,,,,,,,,,
315,153,,2016,Pinal,Mineral Creek,Mineral Creek,Westland Resources,Protocol,Standardize site name per matching utm,,,4.5,28.2,4,,1,,,,,,6,12S,502219,3679646,33.255802,-110.976177,500669,3676633,,,"jtress@westlandresources.com , eric.herman@atozec.com",1,,Complete,6 detections,,,,,,,,,
316,154,,2016,Pinal,Queen Creek,Whitlow Ranch Dam,Westland Resources,Protocol,,stdz site name per UTMs,18.2,,11.8,4,0,,,,,,,3,12S,475093,3684389,33.29829808,-111.2675285,474581,3684457,,,"jtress@westlandresources.com , eric.herman@atozec.com",4,,Complete,3 detections,,,,,,,,,
317,155,,2016,Pinal,Queen Creek - Boyce Thompson Arboretum,Bear Tank Canyon,Westland Resources,Protocol,,,,2.6,12.7,4,0,,,,,,,0,12S,482017,3685258,33.3062742,-111.1931749,480468,3684625,,,"jtress@westlandresources.com , eric.herman@atozec.com",1,,Complete,No detections; combined with other sites on one pdf document,,,,,,,,,
318,156,,2016,Pinal,Queen Creek - Boyce Thompson Arboretum,Benson Spring Canyon,Westland Resources,Protocol,,,,1.25,7.3,4,0,,,,,,,0,12S,481990,3684732,33.30152929,-111.1934544,481160,3684186,,,"jtress@westlandresources.com , eric.herman@atozec.com",1,,Complete,No detections; combined with other sites on one pdf document,,,,,,,,,
319,157,,2016,Pinal,Queen Creek - Boyce Thompson Arboretum,Hewitt Canyon,Westland Resources,Protocol,,,,1.9,10.2,4,0,,,,,,,0,12S,477762,3686379,33.31630599,-111.2389097,478289,3687520,,,"jtress@westlandresources.com , eric.herman@atozec.com",1,,Complete,No detections; combined with other sites on one pdf document,,,,,,,,,
320,158,,2016,Pinal,Queen Creek - Boyce Thompson Arboretum,Potts Canyon,Westland Resources,Protocol,,,,2.9,16.8,4,0,,,,,,,0,12S,482041,3683386,33.28938936,-111.1928799,484052,3685138,,,"jtress@westlandresources.com , eric.herman@atozec.com",1,,Complete,No detections; combined with other sites on one pdf document,,,,,,,,,
321,622,,2018,Pima,San Luis Wash,Wilbur Canyon,USFWS- Buenos Aires National Wildlife Refuge,Protocol,Survey form for one survey,,,4.3,5.8,2,0,,,,,,,4,12R,458410,3495395,31.59288631,-111.438386,461790,3494650,,,chcorson@me.com,1,,Complete,"4 detections (no territories); Seems like there were two total surveys but only one survey form available under ""Logsheets""",,,,,,,,,
322,623,,2018,Pima,La Osa Wash,TUC- 287,AtoZ Environmental Consulting,Protocol,,,,0.71,5,5,,,1,,,,,2,12R,447438,3484157,31.49104748,-111.5534354,447012,3484542,,,eric.herman@atozec.com,1,,Complete,2 birds; more detections throughout but many assumed to be same birds/pair based on behavior,,,,,,,,,
323,624,,2018,Pima,Barrel Canyon,Lower Barrel,Westland Resources,Protocol,,,,2.83,13.58,4,,,1,,,,,4,12R,527415,3523420,31.84615584,-110.7102404,525366,3522030,,,jtress@westlandresources.com,1,,Complete,,,,,,,,,,
324,625,,2018,Pima,Barrel Canyon,Upper Barrel,Westland Resources,Protocol,,,,3.8,20.77,4,,1,,,,,,2,12R,525366,3522104,31.83433045,-110.7319312,523632,3518986,,,jtress@westlandresources.com,1,,Complete,,,,,,,,,,
325,626,,2018,Pima,Wasp Canyon,Wasp,Westland Resources,Protocol,,,,3.6,22.25,4,0,,,,,,,0,12R,522893,3520352,31.81857632,-110.7581069,525310,3522131,,,jtress@westlandresources.com,1,,Complete,No detections,,,,,,,,,
326,627,,2018,Pima,McCleary Canyon,McCleary,Westland Resources,Protocol,,,,4.5,20.77,4,,2,1,,,,,8,12R,523746,3523943,31.85095673,-110.7490063,526940,3523448,,,jtress@westlandresources.com,1,,Complete,,,,,,,,,,
327,628,,2018,Pima,Rosemont Springs,Rosemont Springs,Westland Resources,Protocol,,,,0.9,5.64,4,0,,,,,,,0,12R,524196,3521275,31.82687669,-110.7443163,524865,3521355,,,jtress@westlandresources.com,1,,Complete,No detections,,,,,,,,,
328,629,,2018,Pima,"Unnamed Wash, Canoa Wash 100-200 meters east",TUC-299 Tower,AtoZ Environmental Consulting,Protocol,,,,1.08,10,5,0,,,,,,,0,12R,454969,3482957,31.48053908,-111.474088,455558,3482775,,,eric.herman@atozec.com,1,,Complete,No detections; hours need to be rounded,,,,,,,,,
329,630,,2018,Pima,Box Canyon,Box Canyon,USFWS,Incidental,,,,NR,NR,NR,0,,,,,,,0,12R,521095,3518159,31.79882572,-110.7771524,520807,3518154,,,susan_sferra@fws.gov,1,,,No detections; opportunistic survey done while hiking,,,,,,,,,
330,631,not in the Utm data?,2018,Pima,Florida Canyon,Florida Canyon,USFWS,Protocol,,,,1.5,20.5,6,,1,1,2,"2 hackberry nests found;one in dense doghair thicket with cuckoo incubating and the other with cuckoo carrying food near nest, sitting in empty nest, and with light blue eggshells underneath nest.  possibly feeding fledgling that we did not see.",2,,15,12R,514730,3513754,31.7591833343094,-110.844458540476,513949,3514877,,,susan_sferra@fws.gov,1,2018 YBCU Florida C Sferra,,"Number of detections were for protocol surveys only, not for follow up surveys.  For some protocol surveys we split up, for others we surveyed together. During protocol surveys, we sometimes stationed observers to watch areas where we suspected or knew of",,,,514463,3514505,514520,3514382,,
331,632,,2018,Pinal,San Pedro River,Billton Copper Broken Hill,AZGFD,Protocol,"State Number #, perhaps not needed? The 5 most common species don't list 5 for each section under vegetation characteristics. Detections numbers are incorrect (all ""1"" for individual cuckoos), Survey #2 Observer missing, and no notes for observed cuckoos.",,,,,,,7,9,,,,,46,12S,538430,3612243,32.64713029,-110.5902385,543540,3607091,,,chofer@azgfd.gov,2,,Complete,,,,,,,,,,
332,633,,2018,Pinal,Campo Bonito,Campo Bonito,Tucson Audubon Society,Protocol,3 specis for adjacent habitat; USGS Quad Name; what part of area was surveyed last year;,# Hours; elevation corrected from feet to meters;,,,,4,0,,,,,,,0,12S,524777,3602930,32.56350987,-110.736059,523373,3602994,,,jmacfarland@tucsonaudubon.org,1,,Complete,"Follow up visits on 6/26 (after survey), 6/27, 7/13,7/20, 7/27, 8/03, 8/07, 8/10, 8/23. 8/24.  See follow-up forms (pdfs).  Follow-up hours are not included in total survey hours.",,,,,,,,,
333,634,,2018,Pinal,Peppersauce Creek,Peppersauce Canyon,Tucson Audubon Society,Protocol,territory data; USGS quad name; understory and adjacent habitat species lists not complete,Elevation corrected from feet to meters; total hours adjusted,,,,4,,1,,1,YBCU on Nest,1,,11,12S,526429,3600069,32.53766284,-110.7185415,527106,3600220,,,jmacfarland@tucsonaudubon.org,1,,Complete,11 detections,,,,527106,3600220,,,,
334,635,,2018,Pinal,Campo Bonito,Southern Belle,Tucson Audubon Society,Protocol,USGS quad name; nearest body of water;,Elevation corrected from feet to meters; total hours adjusted,,,,4,0,,,,,,,0,12S,526376,3601618,32.55163752,-110.7190624,524659,3601636,,,jmacfarland@tucsonaudubon.org,1,,Complete,No detections,Catalinas,,,,,,,,
335,636,mc,2018,Pinal,Gila River,Gila River at Hackberry Gulch,WestLand Resources,Protocol,Vegetation characteristics incomplete (the species list);,Std Affiliation,,1.5,17,5,0,0,0,0,,,,1,12S,504222,3663075,33.10632373,-110.9547499,504328,3662395,,,jtress@westlandresources.com,3,,Complete,1 detection,,,,,,,,,
336,637,mc,2018,Pinal,Rancho Rio Creek,Rancho Rio Creek,Audubon Arizona,Protocol,,,,1.2,7.68,4,0,,,,,,,0,12S,495161,3682760,33.28388166,-111.0519677,,,,,,,,,No territories,,,,,,,,,
337,638,mc,2018,Pinal,Queen Creek,Upper Queen Creek Transect 1,Audubon Arizona,Protocol,,,,1.4,9.91,4,0,,,,,,,0,12S,491620,3684395,33.29860755,-111.0900108,,,,,,,,,No territories,,,,,,,,,
338,639,mc,2018,Pinal,San Pedro River,7B Ranch North,Audubon Arizona,Protocol,,,,3.5,19.25,4,,,4,,,,,23,12S,534195,3620493,32.72168993,-110.635091,,,,,,,,,,,,,,,,,,
339,640,mc,2018,Pinal,San Pedro River,7B Ranch Middle,Audubon Arizona,Protocol,,,,3.5,20.27,4,,1,5,,,,,38,12S,535635,3619608,32.71366105,-110.6197583,,,,,,,,,,,,,,,,,,
340,641,mc,2018,Pinal,San Pedro River,7B Ranch South,Audubon Arizona,Protocol,,,,3.5,14,4,,,4,,,,,24,12S,535412,3617523,32.69486027,-110.622217,,,,,,,,,,,,,,,,,,
341,642,mc,2018,Pinal,Queen Creek,Upper Queen Creek Tributary 1,Westland Resources,Protocol,,,,1.7,12,4,0,,,,,,,0,12S,494200,3685500,33.30859156,-111.0623058,495200,3684660,,,jtress@westlandresources.com,1,,Complete,No detections,,,,,,,,,
342,643,mc,2018,Pinal,Queen Creek,Upper Queen Creek Tributary 2,Westland Resources,Protocol,,,,2.4,15.8,4,0,,,,,,,0,12S,494427,3685039,33.30443457,-111.0598644,494883,3683450,,,jtress@westlandresources.com,1,,Complete,No detections,,,,,,,,,
343,644,mc,2018,Pinal,Queen Creek,Upper Queen Creek Transect 2,Westland Resources,Protocol,,,,0.9,8.6,4,0,,,,,,,0,12S,493450,3685504,33.30862334,-111.0703626,494530,3685842,,,jtress@westlandresources.com,1,,Complete,No detections,,,,,,,,,
344,645,mc,2018,Santa Cruz,Sopori Wash,Sopori Wash ALWT,Pima County,Protocol,"# of Kowlp playbacks for Survey 1; Contact info of who complete Site Description Form incomplete; for vegetation characteristics, not all 5 spaces for different species are complete",Correct Elevation from feet to meters,,2,6.5,2,,,,,,,,7,12R,484510,3508084,31.70801766,-111.1634768,486464,3508840,,,iris.rodden@pima.gov,1,,Complete,Only 2 surveys done,,,,,,,,,
